PlateName	PlateID	wellLocation	ReagentClass	ReagentID	PCA01	PCA02	PCA03	PCA04	PCA05	PCA06	PCA07	PCA08	PCA09	DistanceScore	pvalue	PercentageMissingPerRecord	V1	Well	Compound	IRstatut	XPlate	TherapeuticClass	Targettype	Category	XsplitColumn	Raw_AreaShapeAreaC
1	1	m15	SAMPLE	Cloxacillin sodium salt	-0.367828853520872	-0.0884837863689352	-0.324751330115608	-0.623233524452568	0.384142146966124	0.123892568205001	-0.765574693613285	-0.790219593442651	-0.573862866751345	1.72735868493072	0	0	77	M15	Cloxacillin sodium salt	+ IR	AstroF_IR_10uM_plate1	Infectiology	Enzyme	SAMPLE	AstroF_IR_10uM_plate1	40491.7463414634
1	1	m20	SAMPLE	Diphenidol hydrochloride	-0.447397544312357	1.00496978704759	-0.492666293684691	-0.460990498852051	1.10137966412818	0.718733599887755	-0.874654246862865	-0.0859511253257995	-0.653719353297026	1.79160578294258	0	0	98	M20	Diphenidol hydrochloride	+ IR	AstroF_IR_10uM_plate1	Central Nervous System	GPCR	SAMPLE	AstroF_IR_10uM_plate1	47068.7388888889
2	1	j21	SAMPLE	Papaverine hydrochloride	-0.658247820371852	-0.048310339757617	0.183108862294366	-0.771617477166117	0.129111924372655	0.391061878960699	-0.191820126403102	-0.191033993407469	-0.309510318454128	1.73419336181301	0	0	521	J21	Papaverine hydrochloride	+ IR	AstroF_IR_10uM_plate2	Cardiovascular	Enzyme	SAMPLE	AstroF_IR_10uM_plate2	46995.5359477124
3	1	b17	SAMPLE	Olanzapine	-1.53310846419371	0.209436888099298	-1.2939804960569	-0.612443418049583	-0.0794800568028753	0.693548943808792	-1.25743573038907	-0.105651033144047	-0.593167736629893	1.71577998235235	0	0	815	B17	Olanzapine	+ IR	AstroF_IR_10uM_plate3	Central Nervous System	GPCR	SAMPLE	AstroF_IR_10uM_plate3	49076.6013513514
3	1	c21	SAMPLE	N-Acetyl-L-leucine	0.220235632960889	0.385240065679347	-0.261974663335676	-0.242236092798187	0.455176933894516	1.83163435486509	0.115884868271588	0.723598081188171	-0.689014692981072	1.72244794120726	0	0	797	C21	N-Acetyl-L-leucine	+ IR	AstroF_IR_10uM_plate3	Central Nervous System	Not identified	SAMPLE	AstroF_IR_10uM_plate3	49130.46
4	1	b18	SAMPLE	Azithromycin	-0.378250114697271	0.463771360937041	0.296691590061687	-0.015421918977285	0.582543561289996	1.05010579014753	0.0613054419746939	-0.331599093030064	-0.163633530773098	1.7629029648735	0	0	957	B18	Azithromycin	+ IR	AstroF_IR_10uM_plate4	Infectiology	Ribosome	SAMPLE	AstroF_IR_10uM_plate4	44221.5362318841
5	1	g15	SAMPLE	Sertindole	-0.205371564407766	0.185053710846378	0.637165494442075	-0.866748788398548	0.194508066931482	0.601736250082459	0.0940885623856339	0.51926590120151	-2.05496869764765	1.70939768329929	0	0	1411	G15	Sertindole	+ IR	AstroF_IR_1and10uM_plate5	Central Nervous System	GPCR	SAMPLE	AstroF_IR_1and10uM_plate5	57257.7083333333
6	1	k21	SAMPLE	Dyclonine hydrochloride	-0.358924063077378	0.357225329910816	-0.451920862489854	-0.663256379820095	0.0577856589107989	0.636636038167808	-0.238388616777671	0.37250421308524	0.0418479800223017	1.68612339782613	0	0	1547	K21	Dyclonine hydrochloride	+ IR	AstroF_IR_1uM_plate1	Neuromuscular	Ion channel	SAMPLE	AstroF_IR_1uM_plate1	49678.5514705882
7	1	k11	SAMPLE	Hydroxytacrine maleate (R,S)	-0.18239432437771	0.829722958574575	0.163633301752725	-0.315383605227098	0.4108944046473	0.515910321275552	-0.799376011785086	0.233305553482631	-0.246690153429451	1.69835691444701	0	0	1912	K11	Hydroxytacrine maleate (R,S)	+ IR	AstroF_IR_1uM_plate2	Central Nervous System	Enzyme	SAMPLE	AstroF_IR_1uM_plate2	49644.8639455782
7	1	o13	SAMPLE	Closantel	-0.560581981875381	0.331115470435982	0.0754306470097772	0.110689016057426	0.948518586169025	0.690081978458897	-0.0802013184949104	0.161923872303704	-0.432420011362962	1.71556733328793	0	0	1841	O13	Closantel	+ IR	AstroF_IR_1uM_plate2	Infectiology	Not identified	SAMPLE	AstroF_IR_1uM_plate2	49465.4322916667
8	1	b14	SAMPLE	Carbinoxamine maleate salt	-0.800429698728025	-0.013649683219869	-0.309920765394094	-0.790859247163537	0.635608170085685	0.898086942989558	-1.00540665393488	0.871423215651429	-0.471015327764364	1.73047500004872	0	0	2111	B14	Carbinoxamine maleate salt	+ IR	AstroF_IR_1uM_plate3	Allergology	GPCR	SAMPLE	AstroF_IR_1uM_plate3	42540.8263157895
8	1	b20	SAMPLE	Niacin	-0.736965714561233	-0.47070348766205	-0.749568658586881	-0.504979154942166	1.04493198805352	0.343081871756583	-1.38995451023616	0.205352225806733	-0.370011522113912	1.68492330072385	0	0	2259	B20	Niacin	+ IR	AstroF_IR_1uM_plate3	Cardiovascular		SAMPLE	AstroF_IR_1uM_plate3	38713.2365591398
8	1	e20	SAMPLE	Meglumine	-0.0707741728389407	0.0176214293322558	-0.621328447987726	-0.975020849970743	0.166760169204371	1.13802076140823	-1.68280527941501	-0.717589241190347	-0.0897165823848137	1.68262769901354	0	0	2232	E20	Meglumine	+ IR	AstroF_IR_1uM_plate3	Metabolism		SAMPLE	AstroF_IR_1uM_plate3	39320.1455696203
8	1	f19	SAMPLE	Iopamidol	-0.100780190034413	-0.699997532204666	-0.925145824559051	-0.940039068639368	0.84303847084043	0.767549634356113	-0.634438537551809	-0.453184539999258	-0.868371100615607	1.75841033217444	0	0	2208	F19	Iopamidol	+ IR	AstroF_IR_1uM_plate3	Diagnostic		SAMPLE	AstroF_IR_1uM_plate3	37802.7712418301
8	1	f21	SAMPLE	Adrenosterone	0.246135029560874	-0.505707962120482	-0.995900628386172	-1.35352484094164	0.917120577828683	1.83290531496378	-0.0507378383651935	0.0826468243343175	-0.634824011708858	1.72827959640315	0	0	2079	F21	Adrenosterone	+ IR	AstroF_IR_1uM_plate3	Endocrinology	Nuclear receptors	SAMPLE	AstroF_IR_1uM_plate3	39054.987012987
