PlateName	PlateID	wellLocation	ReagentClass	ReagentID	PCA01	PCA02	PCA03	PCA04	PCA05	PCA06	PCA07	PCA08	PCA09	PCA10	DistanceScore	pvalue	PercentageMissingPerRecord	V1	Well	Compound	IRstatut	XPlate	TherapeuticClass	Targettype	Category	XsplitColumn	Raw_AreaShapeAreaC
1	1	g22	SAMPLE	Prednisolone	-0.49776080291231	-0.328605508716849	-0.612142473279203	0.919628451051046	-0.496251618116778	0.749189518844364	0.380169434335072	0.437084313095562	0.105416571715391	0.480611033874743	1.48744418780078	0	0	235	G22	Prednisolone	+ IR	AstroD_IR_10uM_plate1	Endocrinology	Nuclear receptor	SAMPLE	AstroD_IR_10uM_plate1	30624.0869565217
1	1	i10	SAMPLE	Metolazone	0.267136661835438	-0.75230774315765	0.275597340695768	0.532068406096852	-0.927565342961766	1.01973895232402	0.137663996492295	-0.0298791221934324	-0.0708479635820189	0.273671859698283	1.63368495973947	0	0	180	I10	Metolazone	+ IR	AstroD_IR_10uM_plate1	Cardiovascular	Carrier	SAMPLE	AstroD_IR_10uM_plate1	30215.6885245902
1	1	i20	SAMPLE	Clonidine hydrochloride	0.796894378898378	-0.536975661220922	-0.0789501722439691	1.23665885977094	-0.97391611457841	1.50137450896588	-0.904750921984506	0.464871728349238	-0.349849027397814	-0.826114776220857	1.50454752474055	0	0	74	I20	Clonidine hydrochloride	+ IR	AstroD_IR_10uM_plate1	Cardiovascular	GPCR	SAMPLE	AstroD_IR_10uM_plate1	30366.07
1	1	j06	SAMPLE	Morantel tartrate	-0.797039160903155	-0.434397495532075	-0.250140130388802	1.09613652632575	-0.0633581822999506	0.140324035480366	0.00811350351078102	-1.70236023658466	0.0168192944350061	0.543166780493075	1.49044910402216	0	0	187	J06	Morantel tartrate	+ IR	AstroD_IR_10uM_plate1	Infectiology	Enzyme	SAMPLE	AstroD_IR_10uM_plate1	35748.9345794393
1	1	j20	SAMPLE	Bupropion hydrochloride	-0.792903577619524	-1.14949633195771	-0.413411102884367	1.27296242841336	-1.40259628903703	-0.242574470616513	-0.703069945975364	0.240895460136025	-1.02101497800958	0.0541434647887662	1.49214120484646	0	0	51	J20	Bupropion hydrochloride	+ IR	AstroD_IR_10uM_plate1	Central Nervous System	Carrier	SAMPLE	AstroD_IR_10uM_plate1	29488.7154471545
1	1	k03	SAMPLE	Minoxidil	-1.10922747275787	-0.818958074380537	-0.443229739347166	-0.213756142619305	-0.276051531540786	0.472027557379288	-0.188553360004239	-0.091105728029453	1.01470314130108	0.481446525616091	1.55093349589306	0	0	186	K03	Minoxidil	+ IR	AstroD_IR_10uM_plate1	Cardiovascular	Ion channel	SAMPLE	AstroD_IR_10uM_plate1	31254.8648648649
1	1	k10	SAMPLE	Ampicillin trihydrate	-0.264217136695571	-0.199543281979944	0.1291633144867	0.494699938715165	0.200063660765622	1.16141329030196	-0.325115513853608	0.962679716484487	1.64281089743232	1.44295594036177	1.54009351895594	0	0	30	K10	Ampicillin trihydrate	+ IR	AstroD_IR_10uM_plate1	Infectiology	Protein	SAMPLE	AstroD_IR_10uM_plate1	32662.6386554622
1	1	l05	SAMPLE	Amyleine hydrochloride	-0.906638063099189	-0.773143059527934	0.347493626552316	-0.186946187730778	-0.258500825445682	0.812297530715913	-0.0711756968089161	-1.21600916449718	0.911816913694485	-0.0739625690773306	1.62572519544658	0	0	33	L05	Amyleine hydrochloride	+ IR	AstroD_IR_10uM_plate1	Neuromuscular	Ion channel	SAMPLE	AstroD_IR_10uM_plate1	32831.3539823009
1	1	l13	SAMPLE	Gallamine triethiodide	-1.53024723946121	-0.895674167676743	-0.414609030331765	-0.228243117092895	-0.335927329918782	0.967728475607022	0.276150603199262	0.308378952857074	0.870564934437417	-0.582021590729718	1.47902778945448	0	0	130	L13	Gallamine triethiodide	+ IR	AstroD_IR_10uM_plate1	Neuromuscular	GPCR	SAMPLE	AstroD_IR_10uM_plate1	30901.3658536585
1	1	l15	SAMPLE	Aztreonam	-1.04823363830053	-0.651264310723547	0.219982517332967	0.38662603230525	-0.545217797918557	-0.0333236018689767	-0.755275271425358	0.260818180904191	0.005749522219187	-0.956081603296257	1.55163260793395	0	0	43	L15	Aztreonam	+ IR	AstroD_IR_10uM_plate1	Infectiology	Enzyme	SAMPLE	AstroD_IR_10uM_plate1	32391.4953271028
