"","Compound","Category","Concentration","Astrocyte","DistanceScore","PCA01","PCA02","PCA03","PCA04","PCA05","PCA06","PCA07","PCA08","PCA09","Library"
"1","(S)-crizotinib","IR+ Compounds","3uM","AstroD",1.1291209009532,-0.453137234897114,-0.12356875901059,-0.00247622452694316,-0.42783576171347,-0.0711491418920473,0.457029906870529,-0.326914583078243,NA,NA,"Anti Cancer Drug Library"
"2","(S)-crizotinib","IR+ Compounds","1uM","AstroD",0.764611773230848,0.762092547630717,0.878178862200631,-0.252022701853314,-0.420100300492972,-0.0289505357667639,-0.619225539888395,-1.03700071057431,NA,NA,"Anti Cancer Drug Library"
"3","(S)-crizotinib","IR+ Compounds","1uM","AstroF",0.553475275172766,-0.956372149657743,1.11896196737015,0.218705219254459,-0.0305425079075386,-0.837434873345187,-0.273105639694549,1.39931080656832,-0.361447657200725,0.4887372502365,"Anti Cancer Drug Library"
"4","(S)-crizotinib","IR+ Compounds","3uM","AstroF",0.408236202071109,-0.899014605448972,-0.162175801452617,-0.478436567605754,0.118053440877451,-0.0532549650027029,-0.324458242689199,-0.355487437926982,0.0334669009610192,0.66548606811612,"Anti Cancer Drug Library"
"5","10-Hydroxycamptothecin","IR+ Compounds","1uM","AstroD",1.47274793005326,1.11740607631981,0.0581744170454908,0.319848383906439,2.13831909317956,1.84959270600255,0.932803000455911,0.185190890700764,NA,NA,"Anti Cancer Drug Library"
"6","10-Hydroxycamptothecin","IR+ Compounds","3uM","AstroD",1.1291785027209,1.13265547003708,0.767928470903768,-0.139484402454159,1.79215988863301,0.953529473155366,-0.990705465371379,0.127183693477278,NA,NA,"Anti Cancer Drug Library"
"7","10-Hydroxycamptothecin","IR+ Compounds","3uM","AstroF",0.662088654709616,-0.315280347340896,1.36426162890722,-1.58265621481162,0.934493286340226,-0.108967309259918,0.424904424073527,0.726403756507394,-0.296741637327878,-0.817195003619353,"Anti Cancer Drug Library"
"8","10-Hydroxycamptothecin","IR+ Compounds","1uM","AstroF",0.658103602958893,0.845566436123385,0.269068321711183,-1.79892610558297,1.44391038295979,-1.18859409230144,0.484542420587457,-0.762157596278745,0.231104469143089,1.30870717424278,"Anti Cancer Drug Library"
"9","2-Methoxyestradiol","IR+ Compounds","1uM","AstroD",1.12528051302991,1.17569215248813,-0.427757006532798,-0.529091817393358,1.09433596377021,0.539314632516529,0.0441433805074882,0.611765711210761,NA,NA,"Anti Cancer Drug Library"
"10","2-Methoxyestradiol","IR+ Compounds","3uM","AstroD",0.780061057987024,0.690345618995265,1.23530587211229,-1.01056801559296,1.97748246894092,0.738672213801022,0.881592750530345,2.15308533602023,NA,NA,"Anti Cancer Drug Library"
"11","2-Methoxyestradiol","IR+ Compounds","1uM","AstroF",0.605082208771079,1.27578530772621,1.95352241500586,-1.62832363750969,2.36658297729508,-0.869668923662552,-0.286478882063501,0.106282193574052,0.626357167619126,-0.178370174611761,"Anti Cancer Drug Library"
"12","2-Methoxyestradiol","IR+ Compounds","3uM","AstroF",0.567677404592849,0.0274044579063198,2.61264734672648,-1.85594804336725,1.62472052140381,-1.47712005503332,-0.336338859313729,0.896584664525165,0.711264595169355,0.0655291096779592,"Anti Cancer Drug Library"
"13","3-Bromopyruvic acid","IR+ Compounds","3uM","AstroD",0.927364278435303,-1.09749502993194,0.636287087324781,0.370033596329343,0.915047955165801,-0.281289683978143,0.30237118654412,1.11363344580816,NA,NA,"Anti Cancer Drug Library"
"14","3-Bromopyruvic acid","IR+ Compounds","1uM","AstroD",0.877001108571101,-0.378269429427391,1.90606373100431,0.24085416159794,0.214021564011181,-0.0421532711420511,-0.0893343006244446,1.23710380321409,NA,NA,"Anti Cancer Drug Library"
"15","3-Bromopyruvic acid","IR+ Compounds","1uM","AstroF",0.869116764523339,0.0483323529861838,0.920752401182042,0.525168868652447,-0.796915522067025,-0.339395338626927,-0.803748100187404,1.50226670413194,0.852410676315882,0.793498349035204,"Anti Cancer Drug Library"
"16","3-Bromopyruvic acid","IR+ Compounds","3uM","AstroF",0.813679792063619,-0.149055129832652,0.931192271560631,0.689219496520287,-0.496259306344847,0.329221881598576,-0.322192081186764,-0.757414248619555,-0.0951173384170588,-0.0791010417437138,"Anti Cancer Drug Library"
